CapabilityId	FrameworkId
C1	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C2	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C3	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C4	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C11	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C12	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C13	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C14	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C15	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C5	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C9	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C10	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C16	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C17	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C18	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C19	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C20	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C6	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C7	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C8	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C28	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C29	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C30	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C21	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C22	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C23	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C24	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C25	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C26	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C27	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C32	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C33	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C34	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C35	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C36	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C37	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C38	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C39	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C40	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C42	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
C41	5A8D06DD-8C32-4821-AC65-BD47294ACD8E
