FrameworkId	SolutionId
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	7e46b2a5-75c8-47e4-88bb-f185a43d25a9
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	D8922903-D02E-48F0-8340-3D94D3DE9147
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	469231E2-AC03-4B06-B693-033FB94D6A32
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	9A2844E1-C6A5-4F24-A65B-FA3809248EB9
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	4813F419-9A9A-4AFA-BB61-ECF9FB0E5F0A
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	FB4C048C-9023-4FC5-9B33-F69B0695CD48
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	00290A2E-5A09-42E7-96FC-D90E40112BA9
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	CFFBDFD8-A1A7-4AAB-935F-DB6C442A2F88
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	8CFFD174-0831-411B-9FF0-7E1AF172BC8A
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	E1998EC9-6D32-42BD-91C0-0B0F743E53F3
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	C8D558DA-8EC9-4E36-881A-344F0F852284
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	DFEF8014-F05B-47FC-928C-8FE589D04417
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	908C9350-7392-4CB9-9633-19E00C9469A3
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	B472E5AA-A3E8-4421-8CC4-12D6025B3A9A
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	A3C6830F-2E7C-4545-A4B9-02D20C4C92E1
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	EA69A0D3-8123-4591-96C6-975DEFBBD729
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	D6D3A168-1E1D-431D-ACA8-82A9280D19F3
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	12968eb4-4160-4ec5-8bb7-3deca7c3f53b
5A8D06DD-8C32-4821-AC65-BD47294ACD8E	9ddea405-a05d-4c34-959a-468d34caa2f1
